t x1 y1 z1 vx1 vy1 vz1 x2 y2 z2 vx2 vy2 vz2 x3 y3 z3 vx3 vy3 vz3 # Masses: m1=1.0, m2=0.9, m3=0.8
0.00000000 -1.00000000 0.00000000 0.00000000 0.00000000 0.50000000 0.00000000 1.00000000 0.00000000 -1.00000000 0.00000000 -0.40000000 0.00000000 0.00000000 1.50000000 1.00000000 0.60000000 0.00000000 0.00000000
0.10000000 -0.99872770 0.05066754 0.00005571 0.02555397 0.51317795 0.00113139 0.99890478 -0.03967643 -0.99914292 -0.02186314 -0.39336558 0.01714290 0.05964175 1.49880156 0.99896614 0.59265357 -0.02393617 -0.02069999
0.20000000 -0.99486747 0.10260102 0.00022993 0.05176103 0.52531737 0.00237276 0.99563571 -0.07864026 -0.99657094 -0.04347569 -0.38574411 0.03430009 0.11849417 1.49521901 0.99585490 0.58420887 -0.04768459 -0.04155355
0.30000000 -0.98835335 0.15569620 0.00053441 0.07863327 0.53641148 0.00373903 0.99021825 -0.11679165 -0.99228196 -0.06482932 -0.37711386 0.05148550 0.17644616 1.48927035 0.99064918 0.57464140 -0.07126126 -0.06259497
0.40000000 -0.97911803 0.20984804 0.00098248 0.10618734 0.54644871 0.00524698 0.98267890 -0.15402850 -0.98627244 -0.08591174 -0.36744893 0.06871302 0.23338377 1.48097201 0.98332839 0.56391653 -0.09468084 -0.08386087
0.50000000 -0.96709225 0.26495019 0.00158918 0.13444504 0.55541227 0.00691551 0.97304552 -0.19024598 -0.97853747 -0.10670638 -0.35671924 0.08599654 0.28918910 1.47033900 0.97386817 0.55198838 -0.11795619 -0.10539049
0.60000000 -0.95220489 0.32089448 0.00237150 0.16343089 0.56328098 0.00876532 0.96134767 -0.22533609 -0.96907082 -0.12719209 -0.34489161 0.10334914 0.34373998 1.45738500 0.96224029 0.53880249 -0.14109817 -0.12722442
0.70000000 -0.93438134 0.37756970 0.00334883 0.19317649 0.57002667 0.01081971 0.94761777 -0.25918692 -0.95786490 -0.14734223 -0.33192848 0.12078411 0.39690669 1.44212316 0.94841198 0.52428939 -0.16411379 -0.14940677
0.80000000 -0.91354321 0.43486134 0.00454307 0.22372150 0.57561365 0.01310479 0.93189131 -0.29168256 -0.94491077 -0.16712451 -0.31778767 0.13831519 0.44855130 1.42456620 0.93234578 0.50836320 -0.18700593 -0.17198558
0.90000000 -0.88960832 0.49265164 0.00597867 0.25511355 0.57999877 0.01564943 0.91420682 -0.32270310 -0.93019813 -0.18650099 -0.30242235 0.15595654 0.49852772 1.40472644 0.91399956 0.49092168 -0.20977331 -0.19501290
1.00000000 -0.86248964 0.55081859 0.00768289 0.28740963 0.58312974 0.01848542 0.89460650 -0.35212403 -0.91371523 -0.20542745 -0.28578082 0.17372275 0.54667974 1.38261629 0.89332601 0.47184384 -0.23240875 -0.21854487
1.10000000 -0.83209362 0.60923375 0.00968668 0.32067692 0.58494351 0.02164777 0.87313795 -0.37981481 -0.89544884 -0.22385176 -0.26780708 0.19162841 0.59283683 1.35824948 0.87027159 0.45098707 -0.25489643 -0.24264167
1.20000000 -0.79831958 0.66776160 0.01202453 0.35499636 0.58536277 0.02517464 0.84985447 -0.40563921 -0.87538436 -0.24171349 -0.24843953 0.20968881 0.63681319 1.33164212 0.84477675 0.42818222 -0.27720900 -0.26736821
1.30000000 -0.76105653 0.72625698 0.01473505 0.39046940 0.58428876 0.02910743 0.82481619 -0.42945412 -0.85350542 -0.25894231 -0.22760889 0.22792078 0.67840245 1.30281466 0.81677478 0.40322334 -0.29930095 -0.29279516
1.40000000 -0.72018308 0.78456498 0.01786106 0.42721814 0.58160104 0.03349071 0.79809014 -0.45110949 -0.82979391 -0.27545787 -0.20523813 0.24634273 0.71737744 1.27179195 0.78619182 0.37586743 -0.32110840 -0.31899895
1.50000000 -0.67556478 0.84251763 0.02144985 0.46538982 0.57714908 0.03837125 0.76975171 -0.47044727 -0.80422982 -0.29116804 -0.18124122 0.26497460 0.75348530 1.23860614 0.75294624 0.34582677 -0.34253998 -0.34606050
1.60000000 -0.62705165 0.89993014 0.02555360 0.50516177 0.57074388 0.04379720 0.73988670 -0.48730036 -0.77679122 -0.30596667 -0.15552217 0.28383794 0.78644202 1.20330023 0.71694812 0.31276029 -0.36346740 -0.37406419
1.70000000 -0.57447238 0.95659369 0.03022899 0.54675371 0.56213219 0.04981319 0.70859270 -0.50149078 -0.74745375 -0.31973048 -0.12796894 0.30295703 0.81592370 1.16593502 0.67809923 0.27625465 -0.38370017 -0.40309315
1.80000000 -0.51763150 1.01227170 0.03553710 0.59043290 0.55098466 0.05645810 0.67598002 -0.51282863 -0.71619042 -0.33231726 -0.09845080 0.32235925 0.84156185 1.12659259 0.63629285 0.23581580 -0.40297366 -0.43322678
1.90000000 -0.45630514 1.06669122 0.04154244 0.63651978 0.53686803 0.06375732 0.64217404 -0.52111019 -0.68297143 -0.34356231 -0.06681402 0.34207470 0.86293563 1.08538494 0.59141481 0.19085787 -0.42091926 -0.46453068
2.00000000 -0.39023468 1.11952759 0.04831049 0.68539513 0.51919300 0.07170634 0.60731855 -0.52611477 -0.64776395 -0.35327242 -0.03287265 0.36213571 0.87955999 1.04246963 0.54334633 0.14068756 -0.43700951 -0.49703560
2.10000000 -0.31911883 1.17038424 0.05590332 0.73750078 0.49714153 0.08024414 0.57157836 -0.52760025 -0.61053168 -0.36121856 0.00360591 0.38257587 0.89087288 0.99806998 0.49196900 0.08449490 -0.45048356 -0.53070303
