ROWNUM  Q  VPD  E  Dat  H  T  hours  A  Err  Err_E  #SvFver_62_tbl
	0.0	0.0	364.259131746228	0.073888888888889	620.0	74.0	12.0	0.5	nan	nan	-0.111052071521867
	1.0	0.0	336.23919853498	0.046111111111111	620.0	76.0	12.0	1.0	nan	nan	-0.1250561105351635
	2.0	0.0	350.249165140604	0.046111111111111	620.0	75.0	12.0	1.5	nan	nan	-0.1325196790156884
	3.0	0.0	294.209298718107	0.046111111111111	620.0	79.0	12.0	2.0	nan	nan	-0.1041191823395225
	4.0	0.0	308.219265323732	0.046111111111111	620.0	78.0	12.0	2.5	nan	nan	-0.11143104166722592
	5.0	0.0	266.189365506859	0.046111111111111	620.0	81.0	12.0	3.0	nan	nan	-0.0900365702846391
	6.0	0.0	249.152690900173	0.046111111111111	620.0	81.0	11.0	3.5	-0.160869767441859	0.08507128983773571	-0.08139593277423282
	7.0	0.0	249.152690900173	0.046111111111111	620.0	81.0	11.0	4.0	-0.0714976744186026	0.1744433828609921	-0.0814529918508885
	8.0	0.0	118.019695689555	0.0	620.0	91.0	11.0	4.5	-0.0714976744186026	0.1744433828609921	-0.0604442531813415
	9.0	0.0	131.132995210617	0.0	620.0	90.0	11.0	5.0	-0.0714976744186026	0.1744433828609921	-0.06719599801306887
	10.0	0.0	144.246294731679	0.0	620.0	89.0	11.0	5.5	-0.0714976744186026	0.1744433828609921	-0.0739406480342095
	11.0	0.0	157.359594252741	0.0	620.0	88.0	11.0	6.0	-0.0714976744186026	0.1744433828609921	-0.08067963915233148
	12.0	31.41	140.099666056242	0.241666666666666	620.0	90.0	12.0	6.5	0.0714976744186026	-1.0338669462224703	0.1390922417659527
	13.0	62.82	140.099666056242	0.29111111111111	620.0	90.0	12.0	7.0	0.339613953488372	-1.4442379422158271	0.15780045705009618
	14.0	31.41	154.109632661866	nan	620.0	89.0	12.0	7.5	2.59179069767436	1.4848341625103731	nan
	15.0	31.41	179.521279054899	0.196111111111111	620.0	88.0	13.0	8.0	3.98599534883718	2.842969579334588	0.06468820143376458
	16.0	659.61	194.481385642807	0.90111111111111	620.0	87.0	13.0	8.5	5.71981395348834	-1.964458711706035	0.36241203463359406
	17.0	439.74	239.496115379859	0.59722222222222	620.0	85.0	14.0	9.0	5.55894418604654	-1.8380431759121203	-0.03289845254070223
	18.0	596.745	255.46252307185	0.90111111111111	620.0	84.0	14.0	9.5	5.3802	-2.3565697833681387	0.1983451898129931
	19.0	471.105	374.6966380482	1.40444444444445	620.0	78.0	15.0	10.0	3.80725116279064	-3.78123109488433	0.40517563903571996
	20.0	439.74	374.6966380482	1.50777777777778	620.0	78.0	15.0	10.5	11.636246511628	4.330839768160883	0.5325820704908285
	21.0	2198.7	435.810845541807	1.26888888888889	620.0	76.0	16.0	11.0	9.02658139534884	-2.9904894633948196	-0.06757960418327191
	22.0	3141.0	562.922342158167	0.914444444444445	620.0	69.0	16.0	11.5	10.7604	-0.9892537295269186	-0.808692744393472
	23.0	94.23	464.418865453831	nan	620.0	76.0	17.0	12.0	nan	nan	nan
	24.0	62.82	232.209432726916	nan	620.0	88.0	17.0	12.5	nan	nan	nan
	25.0	125.64	108.952711385452	nan	620.0	94.0	16.0	13.0	nan	nan	nan
	26.0	1570.5	85.1583268291362	nan	620.0	95.0	15.0	13.5	nan	nan	nan
	27.0	2512.8	90.793926154543	0.062222222222222	620.0	95.0	16.0	14.0	nan	nan	-0.2200398888638866
	28.0	345.465	90.793926154543	0.155555555555555	620.0	95.0	16.0	14.5	1.89468837209308	-4.656443107938903	-0.06295778355932649
	29.0	188.46	72.6351409236345	0.103333333333334	620.0	96.0	16.0	15.0	1.73381860465115	-2.8834100323348117	-0.02330872079160931
	30.0	1570.5	72.6351409236345	nan	620.0	96.0	16.0	15.5	nan	nan	nan
	31.0	533.97	90.793926154543	nan	620.0	95.0	16.0	16.0	nan	nan	nan
	32.0	314.1	108.952711385452	nan	620.0	94.0	16.0	16.5	nan	nan	nan
	33.0	1099.35	145.270281847269	0.209444444444444	620.0	92.0	16.0	17.0	6.93527441860462	-3.4874987192801905	-0.20614734634962734
	34.0	2387.115	328.963363029797	0.624444444444445	620.0	83.0	17.0	17.5	nan	nan	-0.402130135503453
	35.0	785.25	544.763556927258	1.13833333333334	620.0	70.0	16.0	18.0	2.7705348837209	-5.375748373364356	-0.35570539537712587
	36.0	251.28	459.854964877336	0.783333333333335	620.0	73.0	15.0	18.5	1.37633023255808	-3.9812639501189375	-0.15262464370444873
	37.0	94.23	381.334489849081	0.639444444444445	620.0	79.0	16.0	19.0	1.03671627906977	-1.7577664580199552	0.20562457962289116
	38.0	157.05	303.361746147822	0.73111111111111	620.0	81.0	14.0	19.5	1.03671627906977	-2.8115038052825803	0.2605531197461112
	39.0	31.41	374.6966380482	0.40388888888889	620.0	78.0	15.0	20.0	0.518358139534884	-0.625326716569768	0.1340205148546979
	40.0	45.0	209.441492230716	0.232222222222222	620.0	86.0	13.0	20.5	0.679227906976744	-0.697493520490277	0.06111846591248779
	41.0	45.0	191.596892303887	0.194444444444445	620.0	88.0	14.0	21.0	0.518358139534884	-0.9172393381795669	0.037353389758992606
	42.0	0.0	224.159465689987	0.247777777777778	620.0	84.0	12.0	21.5	-0.160869767441859	0.08507128983773571	0.1335508616665968
	43.0	0.0	252.179398901235	0.112222222222222	620.0	82.0	12.0	22.0	-0.339613953488372	-0.09367289620877728	-0.01652942655153411
	44.0	0.0	236.039391379111	0.207222222222222	620.0	82.0	11.0	22.5	-0.339613953488372	-0.09367289620877728	0.086568948530772
	45.0	0.0	393.398985631851	0.395	620.0	70.0	11.0	23.0	-0.339613953488372	-0.09367289620877728	0.19374090264835273
	46.0	0.0	524.531980842469	nan	620.0	60.0	11.0	23.5	-0.339613953488372	-0.09367289620877728	nan
	47.0	0.0	502.968377994809	nan	620.0	59.0	10.0	24.0	-0.160869767441859	0.08507128983773571	nan
	48.0	0.0	435.865691740992	0.488333333333333	621.0	62.0	9.0	0.5	-0.160869767441859	0.08507128983773571	0.2654017761354788
	49.0	0.0	490.700856580301	0.440555555555555	621.0	60.0	10.0	1.0	-0.160869767441859	0.08507128983773571	0.1895535732304744
	50.0	0.0	385.876824609491	0.298333333333332	621.0	64.0	8.0	1.5	-0.160869767441859	0.08507128983773571	0.10096813454818002
	51.0	0.0	355.574643262388	0.176111111111111	621.0	69.0	9.0	2.0	-0.160869767441859	0.08507128983773571	-0.0057985382911261985
