Used  DisNik  DisZap  b  LatG  LonG  lab95  Catch  S  Used  X  Y  DisNik  DisZap  ROWNUM  #SvFver_62_tbl
	99.0	45.77011283805287	27.168436521086498	0.0	69.6166666666667	31.25	1196.0	27.0	5.08	99.0	16.65136279885787	21.467558313444002	45.77011283805287	27.168436521086498	0.0
	99.0	13.99310926840465	22.639702886352275	1.0	69.5333333333333	30.3333333333333	879.0	43.0	1.12	99.0	-19.085946911927206	12.17714158813159	13.99310926840465	22.639702886352275	1.0
	99.0	46.49808834722096	24.25541776748634	2.0	69.5166666666667	31.3833333333333	1199.0	19.5	1.96	99.0	21.941104404833055	10.339885326806453	46.49808834722096	24.25541776748634	2.0
	99.0	14.342888259473972	17.80956383303218	3.0	69.5166666666667	30.45	1175.0	0.5	0.04	99.0	-14.54067232632989	10.283453321776292	14.342888259473972	17.80956383303218	3.0
	99.0	32.313664120738856	10.540088089163005	4.0	69.4833333333334	31.0333333333333	1195.0	1.3	0.06	99.0	8.273464231019663	6.530179671751313	32.313664120738856	10.540088089163005	4.0
	99.0	66.92851956837814	43.83048653384642	5.0	69.4666666666667	31.9333333333333	1204.0	12.75	0.56	99.0	43.5386464071251	5.049536496454365	66.92851956837814	43.83048653384642	5.0
	99.0	49.37358239973435	26.349879336371952	6.0	69.4666666666667	31.4833333333333	1201.0	17.25	0.32	99.0	25.910069862948433	4.794206997877026	49.37358239973435	26.349879336371952	6.0
	99.0	14.957512501016899	10.453182130324999	7.0	69.4666666666667	30.5833333333333	878.0	32.75	1.26	99.0	-9.350790478646918	4.672444122104835	14.957512501016899	10.453182130324999	7.0
	99.0	30.343122135528827	7.521047837300227	8.0	69.45	31.0	1194.0	10.5	0.08	99.0	6.979338438350312	2.802676494696499	30.343122135528827	7.521047837300227	8.0
	99.0	17.107645155830827	7.070018472535245	9.0	69.4503	30.6568138888889	1173.0	4.75	0.14	99.0	-6.476819829161038	2.834777963540702	17.107645155830827	7.070018472535245	9.0
	99.0	19.446730023480242	38.058344365028	10.0	69.2666666666667	29.9666666666667	881.0	285.8	11.3	99.0	-33.82230353838826	-17.449623467690856	19.446730023480242	38.058344365028	10.0
	99.0	84.25002478874401	63.3441993415064	11.0	69.1666666666667	32.25	1207.0	305.6	17.0	99.0	56.72367101407596	-28.19419686572715	84.25002478874401	63.3441993415064	11.0
	99.0	27.58827142639882	38.32440774706394	12.0	69.1666666666667	30.1833333333333	1181.0	13.0	4.66	99.0	-25.371511515079824	-28.723624990648133	27.58827142639882	38.32440774706394	12.0
	99.0	39.619572061682454	42.648202397061766	13.0	69.0666666666667	30.45	1188.0	12.0	1.76	99.0	-14.845939376373781	-39.980836055962854	39.619572061682454	42.648202397061766	13.0
	99.0	38.73748992872433	47.340030237715375	14.0	69.0666666666667	30.1833333333333	1184.0	6.5	0.29	99.0	-25.48784107187631	-39.892962040973856	38.73748992872433	47.340030237715375	14.0
	99.0	38.89025213730451	48.42567072565663	15.0	69.0666666666667	30.1333333333333	1183.0	3.0	0.11	99.0	-27.48314312493277	-39.871323394191194	38.89025213730451	48.42567072565663	15.0
	99.0	46.13647537634639	52.6094756713654	16.0	69.0	30.25	1191.0	315.0	19.88	99.0	-22.89682780776202	-47.36551706418588	46.13647537634639	52.6094756713654	16.0
	99.0	54.61011626172662	56.387187036821096	17.0	68.9333333333333	30.5	868.0	190.0	22.0	99.0	-12.928681003220962	-54.885007692833554	54.61011626172662	56.387187036821096	17.0
	99.0	138.84124744783782	118.58824108239178	18.0	68.9	33.4166666666667	826.0	8.75	0.96	99.0	104.30115413968188	-56.430844120443524	138.84124744783782	118.58824108239178	18.0
	99.0	137.8656851868984	117.8440520745016	19.0	68.8833333333333	33.3666666666667	827.0	6.75	0.16	99.0	102.36968388071506	-58.375238170822996	137.8656851868984	117.8440520745016	19.0
	99.0	83.17073858546055	76.76007173547791	20.0	68.75	31.1833333333333	828.0	1.0	0.08	99.0	14.628380941850875	-75.35329510947619	83.17073858546055	76.76007173547791	20.0
	99.0	79.81956169710057	79.31273290982335	21.0	68.7166666666667	30.6833333333333	841.0	0.35	0.04	99.0	-5.622272946907699	-79.11320780081823	79.81956169710057	79.31273290982335	21.0
	99.0	78.90417139835877	79.77258568667395	22.0	68.7166666666667	30.5666666666667	833.0	1.0	0.04	99.0	-10.352526506836071	-79.09798115036182	78.90417139835877	79.77258568667395	22.0
	99.0	104.29796019004036	117.30237211803637	23.0	68.5666666666667	29.1333333333333	837.0	296.3	5.1	99.0	-68.91738564749406	-94.92228642438434	104.29796019004036	117.30237211803637	23.0
	99.0	105.37913041714165	117.12258903499495	24.0	68.5333333333333	29.2833333333333	838.0	1.0	0.04	99.0	-62.89022511875575	-98.8054676967451	105.37913041714165	117.12258903499495	24.0
	99.0	115.10889388913893	129.42070758267553	25.0	68.5166666666667	28.8166666666667	836.0	0.5	0.04	99.0	-82.01812363218653	-100.11367013078569	115.10889388913893	129.42070758267553	25.0
	99.0	69.08808346823243	81.82837748171227	26.0	69.95	29.35	20001.0	10.0	1.0	99.0	-56.36492381903415	59.320137593940814	69.08808346823243	81.82837748171227	26.0
	99.0	45.65124267034664	65.6685053279165	27.0	69.63333333333334	29.25	20002.0	10.0	1.0	99.0	-61.10376323229359	24.055824884098342	45.65124267034664	65.6685053279165	27.0
	99.0	45.162648477015345	65.35575935867027	28.0	69.625	29.25	20003.0	10.0	1.0	99.0	-61.12770211862577	23.125295999077977	45.162648477015345	65.35575935867027	28.0
