alpha CV SD delta #SvFver_62_tbl
0.001 34.67103579981581 2.956408770826201e-05 16.262578301758314
0.01 34.434205113734166 0.28782444            16.0631249950486
0.05  20.64753791952709 11.17929012527882	9.074347008154088
0.075 19.049018024078634 13.25518708		7.0476095401
0.1 18.6884365299715  14.335526405623511	6.490094604782
0.116622548505 18.6021237916 14.781711532 	6.47499930712234
0.15 19.288032120749236 SD% 15.875977		7.4177674258
0.2 25.020975173218773  20.75564		13.80981060522
0.3 48.79035984857317  41.541			36.91137853588533
0.4 65.21391650275797  56.62853789377		52.5517719063511
0.5 72.33178654046736 63.310788			59.39182072510856
