X  Y  bS  tS  soilNi  FonSoilNi  nS  #SvFver_62_tbl
	-22.796916737117513	-10.22748969849232	72.0	2000.0	473.0	52.0	0.0
	-22.863072930587	-8.227957286906573	73.0	2000.0	509.0	47.0	1.0
	-6.476819829161038	2.834777963540702	9.0	2018.0	368.0	30.0	2.0
	43.5386464071251	5.049536496454365	5.0	2018.0	35.8	20.0	3.0
	-32.43872418954968	-2.822014075558954	74.0	2014.0	336.0	40.0	4.0
	-34.81606611728952	-4.123122684833902	75.0	2014.0	265.0	35.0	5.0
	-37.30310173491583	-6.692526023415724	76.0	2014.0	182.0	30.0	6.0
	-42.080840839035744	-6.582773331889413	77.0	2014.0	160.0	30.0	7.0
	-45.35287153374854	-11.333589202716965	78.0	2014.0	121.0	30.0	8.0
	-49.48154371442698	-13.859378802435529	79.0	2014.0	82.0	30.0	9.0
	-53.712699404157995	-14.669055723433289	80.0	2014.0	45.0	25.0	10.0
	-57.969102877822586	-21.460892045614344	81.0	2014.0	74.0	25.0	11.0
	-61.5245099870279	-31.92607380218071	82.0	2014.0	22.0	20.0	12.0
